airport_icao,airport_iata,airport_name,city,route_distance_miles,ete_duration_min,ete_duration_hh_mm,num_departures,num_arrivals,num_flights
CYTZ,YTZ,Toronto City Centre,Toronto,441.33,86.5,01:26,3.0,3.0,6.0
KSAV,SAV,Savannah/Hilton Head Intl,Savannah,950.0,131.34,02:11,3.0,3.0,6.0
KSAN,SAN,San Diego Intl,San Diego,2633.25,338.5,05:38,4.0,2.0,6.0
EIDW,DUB,Dublin Int'l,Dublin,3011.67,363.9,06:04,3.0,3.0,6.0
KMSS,MSS,Massena Intl,Massena,285.0,66.17,01:06,3.0,3.0,6.0
KCVG,CVG,Cincinnati/Northern Kentucky International Airport,Hebron,751.0,105.67,01:46,3.0,3.0,6.0
TNCA,AUA,Queen Beatrix Int'l,Oranjestad,2105.25,279.38,04:39,4.0,2.0,6.0
LFPG,CDG,Charles de Gaulle/Roissy,Paris,3492.0,407.84,06:48,3.0,3.0,6.0
KBUF,BUF,Buffalo Niagara Intl,Buffalo,420.0,71.5,01:12,3.0,2.0,5.0
KSLC,SLC,Salt Lake City Intl,Salt Lake City,2102.0,263.91,04:24,3.0,2.0,5.0
LPPT,LIS,General Humberto Delgado Airport,Lisbon,3203.33,387.34,06:27,3.0,2.0,5.0
MMUN,CUN,Cancun Int'l,Cancun,1739.0,230.92,03:51,3.0,2.0,5.0
MDPC,PUJ,Punta Cana Int'l,Punta Cana,1691.0,228.5,03:48,3.0,2.0,5.0
KMDW,MDW,Chicago Midway Intl,Chicago,859.0,121.25,02:01,2.0,3.0,5.0
KSRQ,SRQ,Sarasota/Bradenton Intl,Sarasota/Bradenton,1319.67,175.25,02:55,3.0,2.0,5.0
KCHS,CHS,Charleston Intl/AFB,Charleston,897.33,113.34,01:53,3.0,2.0,5.0
